,0.5,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,36,48,60,
TIGR4 Glucose,0.026,0.069,0.294,0.765,0.75,0.713,0.686,0.651,0.622,0.598,0.571,0.561,0.549,0.537,0.524,0.511,0.477,0.413,0.372,
TIGR4 Galactose,0.065,0.065,0.092,0.251,0.632,0.851,0.853,0.837,0.809,0.786,0.771,0.758,0.747,0.738,0.724,0.716,0.703,0.666,0.552,
TIGR4 N-Acetyl-D-Glucosamine,0.031,0.061,0.228,0.652,0.681,0.675,0.67,0.653,0.643,0.637,0.625,0.613,0.607,0.586,0.566,0.538,0.461,0.404,0.362,
TIGR4 Mannose,0.056,0.084,0.128,0.22,0.309,0.405,0.614,0.534,0.505,0.491,0.458,0.435,0.421,0.39,0.376,0.365,0.342,0.334,0.269,
T4R Glucose ,0.056,0.106,0.313,0.685,0.469,0.348,0.279,0.261,0.255,0.248,0.24,0.236,0.232,0.226,0.221,0.215,0.201,0.181,0.168,
T4R Galactose,0.053,0.098,0.219,0.45,0.697,0.576,0.462,0.386,0.354,0.345,0.334,0.33,0.324,0.309,0.3,0.291,0.271,0.259,0.239,
T4R N-Acetyl-Glucosamine ,0.039,0.059,0.225,0.564,0.317,0.244,0.226,0.207,0.201,0.19,0.183,0.178,0.174,0.173,0.163,0.164,0.159,0.152,0.137,
T4R Mannose ,0.067,0.077,0.128,0.178,0.227,0.392,0.51,0.263,0.235,0.202,0.188,0.182,0.175,0.169,0.166,0.164,0.157,0.146,0.153,
Type 3 Glucose,0.039,0.08,0.18,0.622,0.63,0.606,0.599,0.588,0.581,0.581,0.568,0.562,0.554,0.544,0.536,0.525,0.493,0.433,0.385,
Type 3 Galactose,0.028,0.064,0.13,0.278,0.627,0.689,0.597,0.562,0.548,0.543,0.537,0.538,0.532,0.53,0.525,0.52,0.506,0.459,0.409,
Type 3 N-Acetyl-Glucosamine ,0.037,0.079,0.195,0.587,0.583,0.58,0.576,0.574,0.569,0.57,0.56,0.556,0.549,0.54,0.535,0.523,0.505,0.456,0.41,
Type 3 Mannose,0.039,0.077,0.118,0.175,0.245,0.523,0.587,0.565,0.556,0.547,0.553,0.552,0.549,0.545,0.547,0.538,0.513,0.452,0.371,
D39 Glucose ,0.067,0.078,0.152,0.328,0.757,0.746,0.721,0.67,0.627,0.579,0.547,0.525,0.506,0.485,0.468,0.451,0.399,0.329,0.317,
D39 Galactose ,0.051,0.059,0.121,0.221,0.604,0.81,0.801,0.776,0.762,0.721,0.71,0.681,0.646,0.609,0.582,0.558,0.52,0.446,0.41,
D39 N-Acetyl-Glucosamine  ,0.031,0.051,0.114,0.353,0.595,0.598,0.589,0.582,0.565,0.542,0.514,0.489,0.46,0.435,0.401,0.364,0.273,0.233,0.225,
D39 Mannonse ,0.048,0.042,0.074,0.108,0.116,0.132,0.154,0.263,0.538,0.694,0.565,0.539,0.486,0.363,0.275,0.236,0.178,0.165,0.156,
MNZ11 Glucose,0.043,0.049,0.126,0.255,0.496,0.514,0.474,0.427,0.332,0.309,0.273,0.257,0.253,0.249,0.243,0.24,0.235,0.236,0.233,
MNZ11 D-Galactose,0.024,0.041,0.054,0.144,0.287,0.487,0.568,0.555,0.54,0.542,0.542,0.521,0.486,0.436,0.4,0.376,0.338,0.346,0.328,
MNZ11 N-Acetyl-Glucosamine ,0.026,0.049,0.073,0.191,0.373,0.443,0.456,0.447,0.433,0.39,0.298,0.252,0.26,0.249,0.243,0.242,0.222,0.203,0.148,
MNZ11 Mannose,0.038,0.058,0.082,0.177,0.322,0.469,0.49,0.476,0.448,0.406,0.334,0.275,0.262,0.254,0.249,0.248,0.238,0.208,0.137,
